Program_Name;Module_Name
AADVC;Account_Management
AAFRC;Account_Management
AC2IC;Account_Management
ACH2C;Account_Management
ACHAC;Account_Management
ACHIC;Account_Management
ACHIF;Account_Management
ADEIC;Account_Management
ADEIC;Account_Management
ADEIF;Account_Management
ADEIF;Account_Management
ADETS;Account_Management
ADETS;Account_Management
AINIC;Account_Management
ALACPINT;TECHNICAL_KERNEL
ALADBAL;TECHNICAL_KERNEL
ALANTUS;TECHNICAL_KERNEL
ALCHKDEC;TECHNICAL_KERNEL
ALCNVCLSAC;TECHNICAL_KERNEL
ALCONDCUST;TECHNICAL_KERNEL
ALCONDCUST;TECHNICAL_KERNEL
ALDETHOF;TECHNICAL_KERNEL
ALDLAVGBAL;TECHNICAL_KERNEL
ALDLCBITAC;TECHNICAL_KERNEL
ALDLCBITAC;TECHNICAL_KERNEL
ALDLCTPSIS;TECHNICAL_KERNEL
ALDLCTPSIS;TECHNICAL_KERNEL
ALDLCUSBAL;TECHNICAL_KERNEL
ALDLLADETS;TECHNICAL_KERNEL
ALDLLADETS;TECHNICAL_KERNEL
ALDLLCUSAC;TECHNICAL_KERNEL
ALDLLCUSAC;TECHNICAL_KERNEL
ALDLLLCBNS;TECHNICAL_KERNEL
ALDLLLCBNS;TECHNICAL_KERNEL
ALDLSUMVT;TECHNICAL_KERNEL
ALFOLCHK;TECHNICAL_KERNEL
ALFOLCHK;TECHNICAL_KERNEL
ALFOLDIR;TECHNICAL_KERNEL
ALFOLDIR;TECHNICAL_KERNEL
ALGENINTCD;TECHNICAL_KERNEL
ALGENINTCD;TECHNICAL_KERNEL
ALINTINT;TECHNICAL_KERNEL
ALINTINT;TECHNICAL_KERNEL
ALINTREP;TECHNICAL_KERNEL
ALINTREP;TECHNICAL_KERNEL
ALINTRES;TECHNICAL_KERNEL
ALINTRES;TECHNICAL_KERNEL
ALJSTCON;TECHNICAL_KERNEL
ALJSTCON;TECHNICAL_KERNEL
ALLSTADETS;TECHNICAL_KERNEL
ALRTBKELIS;TECHNICAL_KERNEL
ALRTBKELIS;TECHNICAL_KERNEL
ALSIHINT;TECHNICAL_KERNEL
ALSPCDTAUT;TECHNICAL_KERNEL
ALSPCDTAUT;TECHNICAL_KERNEL
ALTAXHST;TECHNICAL_KERNEL
ALTAXHST;TECHNICAL_KERNEL
ALTAXKOL;TECHNICAL_KERNEL
ALTAXKOL;TECHNICAL_KERNEL
ALUIC001;TECHNICAL_KERNEL
ALUIC001;TECHNICAL_KERNEL
ALUNUSEDRL;TECHNICAL_KERNEL
ALUNUSEDRL;TECHNICAL_KERNEL
ANOSC;Account_Management
ANOSC;Account_Management
AREIC;Account_Management
AREIC;Account_Management
AREIF;Account_Management
ARETC;Account_Management
ASPAM;Account_Management
ASPIF;Account_Management
ASPIM;Account_Management
ATAXM;Account_Management
ATECC;Account_Management
ATXCM;Account_Management
AUATRDODEL;TECHNICAL_KERNEL
AUATRDODEL;TECHNICAL_KERNEL
AUAUDINVCE;Account_Management
AUAUDINVCE;TECHNICAL_KERNEL
AUAUDINVCE;TECHNICAL_KERNEL
AUBKEFOLRT;Finance
AUBKEGEN;TECHNICAL_KERNEL
AUBKEGEN;Account_Management
AUBKEGENRT;Finance
AUBKEGENRT;Account_Management
AUBKEGENRV;TECHNICAL_KERNEL
AUBKEGENRV;Account_Management
AUBKELIS;TECHNICAL_KERNEL
AUCHACAL;Account_Management
AUCHACAL;TECHNICAL_KERNEL
AUCHASTD;TECHNICAL_KERNEL
AUCHASTD;TECHNICAL_KERNEL
AUCLNADETS;TECHNICAL_KERNEL
AUCLNADETS;TECHNICAL_KERNEL
AUCLNHVB;TECHNICAL_KERNEL
AUCLSACC;TECHNICAL_KERNEL
AUCLSACC;Account_Management
AUCLSACC;Account_Management
AUCLSNOS;TECHNICAL_KERNEL
AUCLSNOS;Account_Management
AUCNVACC;TECHNICAL_KERNEL
AUCNVACC;Account_Management
AUCNVACC;Account_Management
AUCOVCAL;TECHNICAL_KERNEL
AUCRADV;Account_Management
AUCRADV;TECHNICAL_KERNEL
AUCRADV;TECHNICAL_KERNEL
AUDACBAL;TECHNICAL_KERNEL
AUDACBAL;Finance
AUDACBAL;Account_Management
AUDACBAL;Account_Management
AUDACBAL;Lending
AUEURACC;TECHNICAL_KERNEL
AUEURACC;Account_Management
AUEURPOL1;TECHNICAL_KERNEL
AUEURPOL1;TECHNICAL_KERNEL
AUEURPOL1;Account_Management
AUHKGINBRA;Account_Management
AUHKGINBRA;TECHNICAL_KERNEL
AUHKGINBRA;TECHNICAL_KERNEL
AUINTCAL;Account_Management
AUINTCAL;TECHNICAL_KERNEL
AUINTCAL;TECHNICAL_KERNEL
AUINTCAL;Account_Management
AUINTCAL;Account_Management
AUINTCFD;Account_Management
AUINTCFD;TECHNICAL_KERNEL
AUINTCFD;TECHNICAL_KERNEL
AUINTCFD;Account_Management
AUINTCFD;Account_Management
AULDGMINT;TECHNICAL_KERNEL
AULDGMINT;TECHNICAL_KERNEL
AULDGMINT;Account_Management
AULDNCPINT;Account_Management
AULDNCPINT;TECHNICAL_KERNEL
AULDNCPINT;Account_Management
AULDNCPINT;TECHNICAL_KERNEL
AULOADMDC;TECHNICAL_KERNEL
AULOADMDC;Account_Management
AUMDCDUP;TECHNICAL_KERNEL
AUMDCDUP;TECHNICAL_KERNEL
AUMDCFUP;TECHNICAL_KERNEL
AUMDCFUP;TECHNICAL_KERNEL
AUMDCREP;TECHNICAL_KERNEL
AUMDCREP;TECHNICAL_KERNEL
AUMVTCLN;TECHNICAL_KERNEL
